system:index,evaporation_from_bare_soil_sum,date,.geo
20030508,-4.49E-04,2003-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030509,-4.85E-04,2003-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030510,-4.92E-04,2003-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030511,-4.99E-04,2003-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030512,-4.31E-04,2003-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030513,-4.01E-04,2003-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030514,-3.56E-04,2003-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030515,-3.10E-04,2003-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030516,-3.90E-04,2003-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030517,-3.70E-04,2003-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030518,-3.50E-04,2003-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030519,-2.73E-04,2003-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030520,-3.25E-04,2003-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030521,-3.51E-04,2003-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030522,-3.37E-04,2003-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030523,-3.49E-04,2003-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030524,-3.50E-04,2003-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030525,-4.06E-04,2003-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030526,-3.86E-04,2003-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030527,-3.44E-04,2003-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030528,-3.56E-04,2003-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030529,-3.07E-04,2003-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030530,-2.81E-04,2003-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030531,-3.26E-04,2003-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030601,-3.46E-04,2003-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030602,-3.66E-04,2003-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030603,-3.21E-04,2003-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030604,-3.29E-04,2003-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030605,-3.02E-04,2003-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030606,-2.48E-04,2003-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030607,-2.62E-04,2003-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030608,-2.94E-04,2003-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030609,-2.80E-04,2003-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030610,-1.93E-04,2003-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030611,-3.16E-04,2003-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030612,-2.90E-04,2003-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030613,-6.22E-04,2003-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030614,-9.03E-04,2003-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030615,-6.72E-04,2003-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030616,-1.21E-04,2003-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030617,-5.99E-04,2003-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030618,-7.46E-04,2003-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030619,-9.18E-05,2003-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030620,-7.99E-04,2003-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030621,-4.81E-04,2003-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030622,-0.001022972,2003-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030623,-0.001039175,2003-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030624,-9.05E-04,2003-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
